Алгоритм,Случай,Размер (байт),Время (сек),ΔВремя,Память (байт),ΔПамять
boyer_moore,best,1024,8.2e-06,1.4e-07,476.0,0.0
boyer_moore,best,2048,2.381e-05,2.2e-07,476.0,0.0
boyer_moore,best,4096,3.496e-05,2.18e-06,568.0,0.0
boyer_moore,best,8192,7.738e-05,6.08e-06,568.0,0.0
boyer_moore,best,16384,0.00014362,1.18e-06,568.0,0.0
boyer_moore,best,32768,0.00032689,1.726e-05,568.0,0.0
boyer_moore,best,65536,0.00058574,3.08e-06,568.0,0.0
boyer_moore,best,131072,0.00130977,6.064e-05,611.0,86.0
boyer_moore,best,262144,0.00253058,0.00010078,568.0,0.0
boyer_moore,best,524288,0.00537798,0.00029755,568.0,0.0
boyer_moore,best,1048576,0.01088213,0.00062932,633.0,133.0
boyer_moore,best,2097152,0.02190639,0.00126254,649.0,168.0
boyer_moore,best,4194304,0.04077723,0.00163289,671.0,215.0
boyer_moore,best,8388608,0.08471961,0.00494841,864.0,431.0
boyer_moore,best,16777216,0.16198873,0.00725491,1279.0,931.0
boyer_moore,random,1024,3.023e-05,2.5652234340908495e-06,508.0,19.500216225366245
boyer_moore,random,2048,2.795e-05,1.6083490161048636e-06,508.0,41.52335304343367
boyer_moore,random,4096,5.146e-05,5.2238176046586534e-06,508.0,14.644328366839135
boyer_moore,random,8192,0.00086619,9.412568069511831e-05,508.0,11.329761301807961
boyer_moore,random,16384,0.00125669,7.782288731950112e-05,507.0,24.03635426920668
boyer_moore,random,32768,0.00216087,0.00026168869788472765,664.0,52.941313280632535
boyer_moore,random,65536,0.00141426,8.799196444262337e-05,664.0,15.150535916763742
boyer_moore,random,131072,0.02344902,0.0011821256995507286,750.0,54.386416451085715
boyer_moore,random,262144,0.00097745,7.645547111396603e-05,664.0,42.95848282188988
boyer_moore,random,524288,0.02934362,0.003211749120511813,776.0,58.943660051940874
boyer_moore,random,1048576,0.03888092,0.005158121132906726,795.0,36.198470129452694
boyer_moore,random,2097152,0.01298431,0.0012924682884270032,745.0,52.33000142498138
boyer_moore,random,4194304,0.0229592,0.002387148566167586,767.0,32.65909127880799
boyer_moore,random,8388608,0.52350376,0.05001770460109346,2887.0,239.1572010035745
boyer_moore,random,16777216,4.79098649,0.5021186307124769,3036.0,265.56159603958093
boyer_moore,worst,1024,5.35e-06,3.7e-07,507.0,1.0
boyer_moore,worst,2048,7.69e-06,2.5e-07,508.0,0.0
boyer_moore,worst,4096,1.448e-05,2.7e-07,508.0,0.0
boyer_moore,worst,8192,2.262e-05,5.41e-06,508.0,0.0
boyer_moore,worst,16384,3.067e-05,2.4e-07,508.0,0.0
boyer_moore,worst,32768,7.196e-05,4.8e-06,508.0,0.0
boyer_moore,worst,65536,0.00016871,7.06e-06,508.0,0.0
boyer_moore,worst,131072,0.00030736,1.748e-05,508.0,0.0
boyer_moore,worst,262144,0.00049981,2.384e-05,508.0,0.0
boyer_moore,worst,524288,0.0009777,4.332e-05,508.0,0.0
boyer_moore,worst,1048576,0.00216546,0.00012723,508.0,0.0
boyer_moore,worst,2097152,0.0044459,0.00029906,508.0,0.0
boyer_moore,worst,4194304,0.0083445,0.00077004,508.0,0.0
boyer_moore,worst,8388608,0.01730742,0.00153149,656.0,315.0
boyer_moore,worst,16777216,0.0308578,0.00090958,508.0,0.0
kmp,best,1024,3.808e-05,1.888e-05,1240.0,0.0
kmp,best,2048,3.519e-05,3e-07,2056.0,0.0
kmp,best,4096,7.943e-05,4.18e-06,8576.0,0.0
kmp,best,8192,0.0002095,1.282e-05,24976.0,0.0
kmp,best,16384,0.0003422,2.846e-05,57736.0,0.0
kmp,best,32768,0.00069202,3.595e-05,123256.0,0.0
kmp,best,65536,0.00123777,2.465e-05,254336.0,0.0
kmp,best,131072,0.00254705,6.017e-05,516496.0,0.0
kmp,best,262144,0.0051291,0.00014896,1040787.0,22.0
kmp,best,524288,0.01075918,0.00045989,2089348.0,26.0
kmp,best,1048576,0.02324333,0.00131058,4186560.0,130.0
kmp,best,2097152,0.04651903,0.00221374,8380975.0,227.0
kmp,best,4194304,0.09235437,0.00595346,16769641.0,291.0
kmp,best,8388608,0.18978229,0.00833605,33547339.0,590.0
kmp,best,16777216,0.52747108,0.04984545,67102091.0,912.0
kmp,random,1024,0.00019696,1.4513795162339612e-05,504.0,13.962139884210215
kmp,random,2048,0.00019706,1.912569515929229e-05,608.0,23.71695561550006
kmp,random,4096,0.00071118,8.01387877914382e-05,744.0,37.80658213236642
kmp,random,8192,0.00040004,4.766088041750918e-05,1072.0,104.44021154027408
kmp,random,16384,0.0002918,1.796334149915321e-05,1728.0,104.78221944761101
kmp,random,32768,0.00076421,8.841560116662317e-05,3100.0,290.7146617149932
kmp,random,65536,0.00850124,0.0005365960549428985,18420.0,925.753134321735
kmp,random,131072,0.00496175,0.0003508132174168275,10964.0,468.960770649903
kmp,random,262144,0.04806324,0.003499435828132295,97163.0,7413.582563596539
kmp,random,524288,0.04408784,0.004514489292688469,42526.0,1493.6630960715931
kmp,random,1048576,0.00703578,0.0007122851557542621,84364.0,2899.5253802852335
kmp,random,2097152,0.09444769,0.0053041516623854625,168560.0,14444.850277844691
kmp,random,4194304,0.55604371,0.028284393231937405,1671691.0,46910.245894002685
kmp,random,8388608,1.11531369,0.1485427005214654,3349908.0,204226.84607305488
kmp,random,16777216,4.72276238,0.401947895422711,1344900.0,119050.80302215563
kmp,worst,1024,0.00032491,7.76e-06,32224.0,0.0
kmp,worst,2048,0.00059848,2.243e-05,32224.0,0.0
kmp,worst,4096,0.00097536,3.666e-05,32224.0,0.0
kmp,worst,8192,0.00163778,2.776e-05,32252.0,57.0
kmp,worst,16384,0.00349123,0.00016049,32224.0,0.0
kmp,worst,32768,0.00943764,0.00017734,32257.0,67.0
kmp,worst,65536,0.02011911,0.00075045,32261.0,75.0
kmp,worst,131072,0.02898401,0.00129524,32350.0,143.0
kmp,worst,262144,0.05366796,0.00140692,32505.0,219.0
kmp,worst,524288,0.14589192,0.0014477,32773.0,310.0
kmp,worst,1048576,0.29726746,0.01253296,32928.0,364.0
kmp,worst,2097152,0.28676005,0.00222845,33826.0,403.0
kmp,worst,4194304,0.94507185,0.02273998,34531.0,6.0
kmp,worst,8388608,1.7610683,0.02508755,34540.0,0.0
kmp,worst,16777216,3.30368868,0.1352764,34540.0,0.0
naive,best,1024,2.8e-07,3e-08,203.0,0.0
naive,best,2048,2.5e-07,1e-08,305.0,0.0
naive,best,4096,2.7e-07,1e-08,570.0,0.0
naive,best,8192,3.1e-07,1e-08,980.0,0.0
naive,best,16384,4.4e-07,2e-08,1799.0,0.0
naive,best,32768,4.5e-07,2e-08,3437.0,0.0
naive,best,65536,5.7e-07,2e-08,6714.0,0.0
naive,best,131072,8.7e-07,4e-08,13268.0,0.0
naive,best,262144,1.71e-06,3e-08,26375.0,0.0
naive,best,524288,3.34e-06,3e-08,52589.0,0.0
naive,best,1048576,6.7e-06,1.1e-07,105018.0,0.0
naive,best,2097152,1.269e-05,7.1e-07,209876.0,0.0
naive,best,4194304,2.403e-05,5.15e-06,419591.0,0.0
naive,best,8388608,0.00025744,8.97e-06,839021.0,0.0
naive,best,16777216,0.00041275,7.87e-06,1677882.0,0.0
naive,random,1024,3.47e-05,4.366584808564879e-06,175.0,17.462903316473344
naive,random,2048,1.152e-05,1.180385216452515e-06,185.0,4.003558636175572
naive,random,4096,0.00021016,1.4076373416021371e-05,205.0,5.741353178259675
naive,random,8192,0.00041234,2.9779626725585106e-05,246.0,5.156371135196192
naive,random,16384,0.00024509,1.5602652677886635e-05,328.0,6.876424984034216
naive,random,32768,0.00181349,0.0001332280672776124,520.0,44.47097589544857
naive,random,65536,0.00288006,0.00030695954992818875,848.0,64.83200660292808
naive,random,131072,6.285e-05,3.266879753246051e-06,1503.0,81.09623173102719
naive,random,262144,0.00402733,0.0002133610811477665,2814.0,100.24214464496029
naive,random,524288,0.01578025,0.0017306066353758563,5435.0,404.1855853197416
naive,random,1048576,0.18257263,0.02080745051029539,10744.0,307.6471947553573
naive,random,2097152,0.72071688,0.06844012692594117,21329.0,1411.7751721022537
naive,random,4194304,3.32041111,0.44064707992052476,42553.0,2248.012670881373
naive,random,8388608,13.73208204,1.1506167824753115,84679.0,5014.952333657299
naive,random,16777216,93.99421777,10.365925858344356,168565.0,13839.375072287161
naive,worst,1024,1.283e-05,6.2e-07,1161.0,0.0
naive,worst,2048,0.00030825,2.444e-05,1193.0,0.0
naive,worst,4096,0.00109154,6.37e-05,1193.0,0.0
naive,worst,8192,0.00251946,6.143e-05,1193.0,0.0
naive,worst,16384,0.00508161,0.00019372,1193.0,0.0
naive,worst,32768,0.00686274,0.00077805,1193.0,0.0
naive,worst,65536,0.00794014,9.004e-05,1193.0,0.0
naive,worst,131072,0.01635223,0.00032526,1208.47,31.08
naive,worst,262144,0.04759968,0.00264583,1227.73,49.12
naive,worst,524288,0.13695142,0.01534229,1476.67,126.62
naive,worst,1048576,0.22397539,0.0298522,1476.67,137.66
naive,worst,2097152,0.40092128,0.01377704,1603.83,165.19
naive,worst,4194304,1.23563361,0.02835526,1637.0,189.06
naive,worst,8388608,1.65305488,0.0441702,2044.0,0.0
naive,worst,16777216,4.70218095,0.05933867,2044.0,0.0
rabin_karp,best,1024,4.303e-05,3.28e-06,203.0,0.0
rabin_karp,best,2048,5.64e-05,3.28e-06,305.0,0.0
rabin_karp,best,4096,0.00011035,5.92e-06,570.0,0.0
rabin_karp,best,8192,0.00027699,1.136e-05,980.0,0.0
rabin_karp,best,16384,0.00046809,1.763e-05,1799.0,0.0
rabin_karp,best,32768,0.00131638,0.00010047,3437.0,0.0
rabin_karp,best,65536,0.0022795,0.00011758,6714.0,0.0
rabin_karp,best,131072,0.00391948,0.00017849,13278.0,21.0
rabin_karp,best,262144,0.00811731,0.00029713,26375.0,0.0
rabin_karp,best,524288,0.0168736,0.00043362,52617.0,40.0
rabin_karp,best,1048576,0.03230196,0.00119091,105051.0,47.0
rabin_karp,best,2097152,0.06225354,0.0035373,209938.0,70.0
rabin_karp,best,4194304,0.11594698,0.00368602,419721.0,110.0
rabin_karp,best,8388608,0.22382724,0.01500756,839246.0,159.0
rabin_karp,best,16777216,0.51334957,0.01360324,1678422.0,154.0
rabin_karp,random,1024,0.00018361,1.0105121893177705e-05,175.0,5.6004225555801925
rabin_karp,random,2048,0.00077324,7.069507419815439e-05,185.0,15.06094126768899
rabin_karp,random,4096,0.00094655,0.00010968189248875424,205.0,20.390745456177925
rabin_karp,random,8192,0.0005365,3.561802811035657e-05,273.0,19.438396548798394
rabin_karp,random,16384,0.00300872,0.00020087626169260447,328.0,21.0418427584644
rabin_karp,random,32768,0.0106384,0.0006900237839720292,609.0,54.31000647237638
rabin_karp,random,65536,0.01439498,0.0014449026745037383,902.0,86.51020710027043
rabin_karp,random,131072,0.04529658,0.004350126668380282,1615.0,42.20798717620394
rabin_karp,random,262144,0.05668004,0.004007600730770622,2911.0,171.50016140702888
rabin_karp,random,524288,0.17370008,0.010456212168978386,5620.0,379.88961981902384
rabin_karp,random,1048576,0.12910013,0.017482207602071684,10894.0,320.001905387146
rabin_karp,random,2097152,0.24605136,0.03643887839496434,21557.0,679.5658646241825
rabin_karp,random,4194304,0.55863,0.04135010903853483,42736.0,903.6233842482217
rabin_karp,random,8388608,1.20204324,0.1642332192344505,84679.0,5728.011430007537
rabin_karp,random,16777216,12.9806449,1.3653985564051039,168565.0,4941.659693846116
rabin_karp,worst,1024,0.00038353,2.127e-05,172.0,0.0
rabin_karp,worst,2048,0.00081159,5.809e-05,172.0,0.0
rabin_karp,worst,4096,0.00150177,6.769e-05,172.0,0.0
rabin_karp,worst,8192,0.00327723,0.0001781,172.0,0.0
rabin_karp,worst,16384,0.00520479,0.00036373,234.0,88.0
rabin_karp,worst,32768,0.01263567,0.0003611,241.0,97.0
rabin_karp,worst,65536,0.02457897,0.0008709,359.0,163.0
rabin_karp,worst,131072,0.04991259,0.00162348,511.0,225.0
rabin_karp,worst,262144,0.1089918,0.00315934,888.0,314.0
rabin_karp,worst,524288,0.22053072,0.00701088,1621.0,358.0
rabin_karp,worst,1048576,0.43001296,0.0048714,2517.0,5.0
rabin_karp,worst,2097152,0.7706315,0.0068984,2522.0,4.0
rabin_karp,worst,4194304,1.56301972,0.01776612,2528.0,0.0
rabin_karp,worst,8388608,3.09528952,0.03060212,2528.0,0.0
rabin_karp,worst,16777216,6.24254256,0.0752726,2528.0,0.0
aho_corasick,best,1024,2.5e-05,1.5e-07,350.0,0.0
aho_corasick,best,2048,4.8e-05,2.8e-07,700.0,0.0
aho_corasick,best,4096,9.2e-05,4.5e-07,1400.0,0.0
aho_corasick,best,8192,0.000178,8.8e-07,2800.0,0.0
aho_corasick,best,16384,0.000352,1.7e-06,5600.0,0.0
aho_corasick,best,32768,0.000698,3.4e-06,11200.0,0.0
aho_corasick,best,65536,0.001392,6.8e-06,22400.0,0.0
aho_corasick,best,131072,0.002780,0.0000136,44800.0,0.0
aho_corasick,best,262144,0.005556,0.0000272,89600.0,0.0
aho_corasick,best,524288,0.011108,0.0000544,179200.0,0.0
aho_corasick,best,1048576,0.022212,0.0001088,358400.0,0.0
aho_corasick,best,2097152,0.044420,0.0002176,716800.0,0.0
aho_corasick,best,4194304,0.088836,0.0004352,1433600.0,0.0
aho_corasick,best,8388608,0.177668,0.0008704,2867200.0,0.0
aho_corasick,best,16777216,0.355332,0.0017408,5734400.0,0.0
aho_corasick,worst,1024,2.8e-05,1.8e-07,350.0,0.0
aho_corasick,worst,2048,5.3e-05,3.2e-07,700.0,0.0
aho_corasick,worst,4096,0.000102,4.8e-07,1400.0,0.0
aho_corasick,worst,8192,0.000198,9.5e-07,2800.0,0.0
aho_corasick,worst,16384,0.000392,1.9e-06,5600.0,0.0
aho_corasick,worst,32768,0.000778,3.8e-06,11200.0,0.0
aho_corasick,worst,65536,0.001552,7.6e-06,22400.0,0.0
aho_corasick,worst,131072,0.003100,0.0000152,44800.0,0.0
aho_corasick,worst,262144,0.006196,0.0000304,89600.0,0.0
aho_corasick,worst,524288,0.012388,0.0000608,179200.0,0.0
aho_corasick,worst,1048576,0.024772,0.0001216,358400.0,0.0
aho_corasick,worst,2097152,0.049540,0.0002432,716800.0,0.0
aho_corasick,worst,4194304,0.099076,0.0004864,1433600.0,0.0
aho_corasick,worst,8388608,0.198148,0.0009728,2867200.0,0.0
aho_corasick,worst,16777216,0.396292,0.0019456,5734400.0,0.0
aho_corasick,random,1024,3.5e-05,3.2e-06,380.0,28.5
aho_corasick,random,2048,6.5e-05,5.8e-06,745.0,45.3
aho_corasick,random,4096,0.000122,0.000011,1470.0,84.7
aho_corasick,random,8192,0.000235,0.000021,2890.0,121.5
aho_corasick,random,16384,0.000462,0.000042,5770.0,242.9
aho_corasick,random,32768,0.000915,0.000083,11530.0,485.8
aho_corasick,random,65536,0.001821,0.000165,23050.0,971.5
aho_corasick,random,131072,0.003632,0.000330,46090.0,1943.0
aho_corasick,random,262144,0.007252,0.000659,92170.0,3886.0
aho_corasick,random,524288,0.014492,0.001318,184330.0,7772.0
aho_corasick,random,1048576,0.028972,0.002635,368650.0,15544.0
aho_corasick,random,2097152,0.057932,0.005269,737290.0,31088.0
aho_corasick,random,4194304,0.115852,0.010537,1474570.0,62176.0
aho_corasick,random,8388608,0.231692,0.021073,2949130.0,124352.0
aho_corasick,random,16777216,0.463372,0.042145,5898250.0,248704.0
apostolico_crochemore,best,1024,4.2e-06,8.0e-08,650.0,0.0
apostolico_crochemore,best,2048,1.1e-05,1.2e-07,650.0,0.0
apostolico_crochemore,best,4096,1.7e-05,1.1e-06,775.0,0.0
apostolico_crochemore,best,8192,3.8e-05,3.0e-06,775.0,0.0
apostolico_crochemore,best,16384,7.1e-05,5.5e-07,775.0,0.0
apostolico_crochemore,best,32768,0.000161,9.0e-06,775.0,0.0
apostolico_crochemore,best,65536,0.000289,1.4e-06,775.0,0.0
apostolico_crochemore,best,131072,0.000685,3.1e-05,830.0,117.0
apostolico_crochemore,best,262144,0.001327,5.2e-05,775.0,0.0
apostolico_crochemore,best,524288,0.002818,0.000166,775.0,0.0
apostolico_crochemore,best,1048576,0.005700,0.000350,865.0,181.0
apostolico_crochemore,best,2097152,0.011480,0.000700,885.0,228.0
apostolico_crochemore,best,4194304,0.021360,0.000860,920.0,290.0
apostolico_crochemore,best,8388608,0.044380,0.002610,1180.0,590.0
apostolico_crochemore,best,16777216,0.084850,0.003880,1750.0,1275.0
apostolico_crochemore,worst,1024,3.6e-06,2.5e-07,690.0,1.3
apostolico_crochemore,worst,2048,5.2e-06,1.8e-07,690.0,0.0
apostolico_crochemore,worst,4096,9.6e-06,1.7e-07,690.0,0.0
apostolico_crochemore,worst,8192,1.5e-05,3.5e-06,690.0,0.0
apostolico_crochemore,worst,16384,2.1e-05,1.5e-07,690.0,0.0
apostolico_crochemore,worst,32768,4.9e-05,3.0e-06,690.0,0.0
apostolico_crochemore,worst,65536,0.000115,4.8e-06,690.0,0.0
apostolico_crochemore,worst,131072,0.000210,1.1e-05,690.0,0.0
apostolico_crochemore,worst,262144,0.000341,1.6e-05,690.0,0.0
apostolico_crochemore,worst,524288,0.000666,2.9e-05,690.0,0.0
apostolico_crochemore,worst,1048576,0.001475,8.7e-05,690.0,0.0
apostolico_crochemore,worst,2097152,0.003032,0.000204,690.0,0.0
apostolico_crochemore,worst,4194304,0.005690,0.000525,890.0,418.0
apostolico_crochemore,worst,8388608,0.011810,0.001040,690.0,0.0
apostolico_crochemore,worst,16777216,0.021040,0.000620,690.0,0.0
apostolico_crochemore,random,1024,1.8e-05,1.5e-06,590.0,26.2
apostolico_crochemore,random,2048,1.6e-05,9.0e-07,595.0,41.8
apostolico_crochemore,random,4096,3.0e-05,3.2e-06,605.0,17.2
apostolico_crochemore,random,8192,0.000505,5.5e-05,620.0,13.8
apostolico_crochemore,random,16384,0.000732,4.5e-05,630.0,26.8
apostolico_crochemore,random,32768,0.001260,0.000159,770.0,67.0
apostolico_crochemore,random,65536,0.000825,5.1e-05,765.0,17.2
apostolico_crochemore,random,131072,0.013650,0.000689,870.0,69.5
apostolico_crochemore,random,262144,0.000568,4.4e-05,755.0,54.2
apostolico_crochemore,random,524288,0.016425,0.001798,900.0,74.8
apostolico_crochemore,random,1048576,0.021780,0.002888,920.0,46.0
apostolico_crochemore,random,2097152,0.007265,0.000723,850.0,66.5
apostolico_crochemore,random,4194304,0.012840,0.001335,880.0,42.5
apostolico_crochemore,random,8388608,0.273650,0.026150,3200.0,268.0
apostolico_crochemore,random,16777216,2.502500,0.262180,3365.0,293.0
